GyroX_degps,GyroY_degps,GyroZ_degps,AccX_g,AccY_g,AccZ_g,T_deg[0],SysTime_ms
-0.634975,-0.174137,-0.148815,-0.506886,0.767288,-0.392132,32.342529,23973.860000
-0.126155,-0.278648,0.207677,-0.514916,0.777771,-0.385230,32.342529,23973.865000
0.126974,-0.402368,0.397633,-0.519031,0.756804,-0.408245,32.342529,23973.870000
0.519770,0.175650,-0.003228,-0.518297,0.761801,-0.398951,32.336426,23973.875000
0.238247,0.205751,-0.187920,-0.514344,0.752930,-0.404929,32.330322,23973.880000
0.041333,0.280061,-0.300550,-0.507222,0.765923,-0.387872,32.330322,23973.885000
-0.281413,-0.141584,-0.091167,-0.506757,0.770366,-0.389810,32.330322,23973.890000
-0.229057,-0.313812,0.053360,-0.513829,0.774823,-0.385534,32.336426,23973.895000
0.199811,-0.132908,0.302611,-0.521002,0.760604,-0.405359,32.336426,23973.900000
0.516156,0.203841,0.142859,-0.518864,0.760935,-0.398924,32.336426,23973.905000
0.304095,0.317357,-0.198192,-0.513815,0.752859,-0.408373,32.336426,23973.910000
-0.031520,0.203183,-0.252419,-0.509175,0.766230,-0.384744,32.330322,23973.915000
-0.531699,-0.185020,-0.114308,-0.506342,0.764664,-0.392042,32.330322,23973.920000
-0.184195,-0.161991,0.074737,-0.512589,0.777132,-0.385057,32.330322,23973.925000
-0.131257,-0.256135,0.304019,-0.520293,0.762909,-0.404895,32.330322,23973.930000
0.656040,0.176578,0.090472,-0.519679,0.763932,-0.401624,32.336426,23973.935000
0.257689,0.213821,-0.038367,-0.514347,0.751042,-0.406028,32.336426,23973.940000
-0.035990,0.265702,-0.451374,-0.508141,0.767228,-0.387362,32.336426,23973.945000
-0.297047,-0.103257,-0.176342,-0.507234,0.770654,-0.392219,32.336426,23973.950000
-0.261388,-0.382437,0.225153,-0.513035,0.774754,-0.388121,32.324219,23973.955000
-0.097302,-0.193745,0.190727,-0.513140,0.777416,-0.386004,32.336426,23973.985000
-0.064611,-0.406901,0.323164,-0.518631,0.762054,-0.403959,32.342529,23973.990000
0.598714,0.147234,0.068757,-0.521482,0.764650,-0.399669,32.360840,23973.995000
0.161872,0.345888,-0.303722,-0.506902,0.769281,-0.384806,32.360840,23974.005000
-0.456374,-0.107806,-0.159451,-0.505283,0.765492,-0.393762,32.354736,23974.010000
-0.276997,-0.267914,0.110736,-0.513927,0.778352,-0.385693,32.354736,23974.015000
0.099053,-0.203803,0.303327,-0.519147,0.759416,-0.402061,32.354736,23974.020000
0.432666,0.153580,0.138111,-0.517724,0.761148,-0.400521,32.354736,23974.025000
0.325767,0.259046,-0.130380,-0.515063,0.749553,-0.404579,32.354736,23974.030000
0.090325,0.290473,-0.436847,-0.508079,0.768053,-0.390163,32.354736,23974.035000
-0.430293,-0.150531,-0.275752,-0.504525,0.768165,-0.391993,32.354736,23974.040000
-0.293307,-0.156908,0.040130,-0.512557,0.775977,-0.384199,32.354736,23974.045000
0.035625,-0.406098,0.357567,-0.518975,0.761929,-0.403278,32.336426,23974.050000
0.441307,0.163012,0.021326,-0.521359,0.764245,-0.399751,32.336426,23974.055000
0.186915,0.210485,-0.095511,-0.514889,0.748863,-0.406734,32.336426,23974.060000
0.065729,0.289568,-0.364305,-0.507921,0.768625,-0.386623,32.336426,23974.065000
-0.383871,-0.109769,-0.175359,-0.508483,0.762800,-0.394204,32.360840,23974.070000
-0.139983,-0.164530,0.145922,-0.513328,0.778802,-0.383400,32.360840,23974.075000
0.122861,-0.317028,0.295171,-0.520320,0.760763,-0.402940,32.360840,23974.080000
0.605570,0.175977,0.139053,-0.520605,0.763466,-0.400178,32.360840,23974.085000
0.258480,0.173238,-0.064659,-0.512897,0.749742,-0.408273,32.342529,23974.090000
0.197736,0.212078,-0.314525,-0.508233,0.766042,-0.390090,32.342529,23974.095000
-0.512620,-0.167436,-0.075905,-0.506960,0.766545,-0.390507,32.342529,23974.100000
-0.255798,-0.139123,0.040934,-0.511901,0.775502,-0.389556,32.342529,23974.105000
-0.191957,-0.142419,0.165156,-0.513426,0.777665,-0.386217,32.312012,23974.135000
-0.041072,-0.267644,0.408366,-0.518498,0.764273,-0.401681,32.312012,23974.140000
0.462237,-0.052706,0.048258,-0.521023,0.763316,-0.405237,32.324219,23974.145000
0.218751,-0.016593,-0.050758,-0.513523,0.745378,-0.406418,32.354736,23974.150000
0.201792,0.445297,-0.305799,-0.508713,0.770755,-0.388264,32.354736,23974.155000
-0.644617,-0.226909,-0.099251,-0.505175,0.765366,-0.391360,32.354736,23974.160000
-0.181278,-0.172829,-0.047973,-0.511430,0.776566,-0.385519,32.330322,23974.165000
-0.108836,-0.392633,0.246132,-0.517332,0.763120,-0.396936,32.318115,23974.170000
0.525246,0.136668,0.148948,-0.521932,0.764049,-0.405014,32.318115,23974.175000
0.309274,0.138115,0.003765,-0.513797,0.745832,-0.405453,32.318115,23974.180000
0.072458,0.347855,-0.405139,-0.506266,0.766267,-0.390618,32.305908,23974.185000
-0.375013,-0.136654,-0.151762,-0.507200,0.768069,-0.391330,32.305908,23974.190000
-0.298594,-0.164093,0.165704,-0.511377,0.773785,-0.388981,32.305908,23974.195000
-0.068028,-0.285013,0.331772,-0.520298,0.764335,-0.398063,32.305908,23974.200000
0.276304,0.055959,0.070310,-0.521050,0.764380,-0.404340,32.336426,23974.205000
0.192618,0.236793,-0.098306,-0.515843,0.748153,-0.404113,32.336426,23974.210000
0.400163,0.313629,-0.356797,-0.507524,0.769621,-0.389990,32.336426,23974.215000
-0.533182,-0.118194,-0.070564,-0.505946,0.763683,-0.392969,32.336426,23974.220000
-0.157279,-0.146233,0.008075,-0.513175,0.777201,-0.384210,32.373047,23974.225000
-0.024094,-0.344712,0.286020,-0.517441,0.763646,-0.397418,32.373047,23974.230000
0.483887,0.087882,0.051580,-0.521234,0.764370,-0.403200,32.373047,23974.235000
0.193618,0.155049,-0.016390,-0.515734,0.751679,-0.404305,32.373047,23974.240000
0.139103,0.325288,-0.312991,-0.508430,0.766011,-0.397413,32.360840,23974.245000
-0.466939,-0.034634,-0.221131,-0.505946,0.762232,-0.388899,32.360840,23974.250000
-0.242031,-0.273127,0.093986,-0.512462,0.779018,-0.385617,32.360840,23974.255000
-0.123652,-0.255783,0.330529,-0.518991,0.762773,-0.397294,32.373047,23974.260000
0.466773,0.087908,0.039492,-0.522575,0.765177,-0.401927,32.391357,23974.265000
0.196932,0.205008,-0.051431,-0.515685,0.749546,-0.405769,32.391357,23974.270000
0.280735,0.377653,-0.470638,-0.510288,0.766930,-0.393099,32.391357,23974.275000
-0.512942,-0.084558,-0.222159,-0.507314,0.761360,-0.389459,32.373047,23974.280000
-0.208884,-0.077018,-0.010675,-0.511369,0.777511,-0.386612,32.348633,23974.285000
-0.062157,-0.427388,0.343680,-0.518607,0.768489,-0.397973,32.348633,23974.290000
0.327241,0.192765,0.197076,-0.522767,0.765274,-0.406208,32.348633,23974.295000
0.290872,0.237301,0.012079,-0.513697,0.746072,-0.404388,32.354736,23974.300000
0.108379,0.363059,-0.363369,-0.508781,0.767439,-0.393231,32.354736,23974.305000
-0.277012,-0.041563,-0.193448,-0.506255,0.766372,-0.385527,32.354736,23974.310000
-0.238941,-0.191455,0.067688,-0.510112,0.775836,-0.387478,32.354736,23974.315000
0.005906,-0.216158,0.225213,-0.517103,0.764470,-0.394771,32.336426,23974.320000
0.339597,0.068269,0.074658,-0.523179,0.767159,-0.404915,32.336426,23974.325000
0.252646,0.140979,-0.050133,-0.514458,0.747011,-0.403634,32.336426,23974.330000
0.341866,0.417902,-0.358182,-0.508076,0.766099,-0.396961,32.336426,23974.335000
-0.431568,-0.189002,-0.205620,-0.506077,0.765843,-0.386054,32.342529,23974.340000
-0.256367,-0.255223,-0.029160,-0.511285,0.776410,-0.389988,32.342529,23974.345000
-0.158552,-0.261688,0.233247,-0.516976,0.768494,-0.394275,32.342529,23974.350000
0.383525,-0.008490,0.312496,-0.522193,0.765443,-0.406399,32.342529,23974.355000
0.396552,0.150915,-0.026429,-0.513742,0.745912,-0.404354,32.312012,23974.360000
0.306927,0.283632,-0.423225,-0.509574,0.769657,-0.393335,32.312012,23974.365000
-0.385657,-0.179397,-0.306931,-0.505758,0.763884,-0.388859,32.312012,23974.370000
-0.309912,-0.172821,0.156685,-0.512483,0.776768,-0.386074,32.312012,23974.375000
-0.047541,-0.266333,0.288397,-0.515979,0.766899,-0.396243,32.366943,23974.380000
0.530001,0.110894,0.175412,-0.521500,0.762118,-0.407032,32.366943,23974.385000
0.165999,0.072517,0.079547,-0.515101,0.749707,-0.401120,32.366943,23974.390000
0.425664,0.407617,-0.373803,-0.509849,0.767649,-0.400087,32.366943,23974.395000
-0.496913,-0.085166,-0.151636,-0.506999,0.761479,-0.383842,32.342529,23974.400000
-0.175539,0.086389,0.007501,-0.510867,0.777270,-0.387049,32.342529,23974.405000
-0.206532,-0.291884,0.316959,-0.516597,0.767511,-0.394512,32.342529,23974.410000
0.286185,-0.025925,0.155414,-0.521759,0.764785,-0.405492,32.354736,23974.415000
0.248651,0.181991,-0.032711,-0.514010,0.750785,-0.402639,32.373047,23974.420000
0.197166,0.364132,-0.343860,-0.507411,0.766177,-0.395516,32.373047,23974.425000
-0.315070,0.136201,-0.223672,-0.508646,0.765252,-0.389486,32.373047,23974.430000
-0.184605,-0.097222,0.054209,-0.512393,0.774826,-0.385576,32.379150,23974.435000
-0.108641,-0.220293,0.292801,-0.515301,0.767266,-0.393744,32.379150,23974.440000
0.446171,-0.038798,0.214522,-0.521005,0.762359,-0.403684,32.379150,23974.445000
0.086735,0.159772,-0.012960,-0.515093,0.751431,-0.401890,32.379150,23974.450000
0.339208,0.362749,-0.364041,-0.511230,0.763005,-0.402728,32.360840,23974.455000
-0.534665,-0.015527,-0.161304,-0.506682,0.761733,-0.387007,32.348633,23974.460000
-0.220520,-0.068421,-0.008011,-0.512475,0.777873,-0.386556,32.348633,23974.465000
0.028446,-0.437714,0.296036,-0.514980,0.767603,-0.393741,32.348633,23974.470000
0.314938,-0.037838,0.179419,-0.520521,0.764716,-0.404453,32.312012,23974.475000
0.331650,0.170236,0.030556,-0.515993,0.751848,-0.402326,32.312012,23974.480000
0.178807,0.232284,-0.361720,-0.508628,0.761715,-0.402025,32.312012,23974.485000
-0.142016,0.068036,-0.298662,-0.506851,0.761326,-0.386812,32.312012,23974.490000
-0.327807,-0.104717,0.021777,-0.510518,0.776323,-0.385941,32.354736,23974.495000
-0.183457,-0.253562,0.302871,-0.513683,0.772171,-0.394601,32.354736,23974.500000
0.528125,-0.014597,0.169619,-0.522975,0.761412,-0.406743,32.354736,23974.505000
0.164882,0.087350,0.006417,-0.513410,0.750254,-0.400269,32.354736,23974.510000
0.311298,0.224584,-0.241816,-0.511652,0.764072,-0.402495,32.348633,23974.515000
-0.349963,0.036136,-0.174725,-0.505871,0.764152,-0.382105,32.348633,23974.520000
-0.316219,-0.133010,-0.094916,-0.508908,0.774291,-0.389649,32.348633,23974.525000
-0.060025,-0.289566,0.217943,-0.516791,0.770955,-0.392357,32.348633,23974.530000
0.282250,-0.065494,0.348270,-0.523040,0.763099,-0.406342,32.318115,23974.535000
0.337685,0.280528,0.112480,-0.516023,0.749953,-0.400417,32.318115,23974.540000
0.129234,0.307510,-0.359983,-0.508387,0.764955,-0.399168,32.318115,23974.545000
-0.293385,0.052375,-0.366408,-0.507662,0.765592,-0.388208,32.324219,23974.550000
-0.239018,-0.118645,0.058838,-0.508085,0.777417,-0.389059,32.342529,23974.555000
-0.146172,-0.293409,0.204305,-0.515201,0.771007,-0.392239,32.342529,23974.560000
0.464682,-0.000856,0.171060,-0.522125,0.762237,-0.404895,32.342529,23974.565000
0.239214,0.128663,0.031438,-0.515913,0.751552,-0.400247,32.336426,23974.570000
0.379562,0.412505,-0.363195,-0.511560,0.762966,-0.402658,32.336426,23974.575000
-0.378341,0.091284,-0.204618,-0.507999,0.765337,-0.385896,32.336426,23974.580000
-0.480317,-0.159040,0.024221,-0.510354,0.774404,-0.389074,32.336426,23974.585000
-0.093421,-0.254785,0.164546,-0.515321,0.772402,-0.391022,32.330322,23974.590000
0.223735,-0.050782,0.250471,-0.520480,0.760324,-0.406691,32.330322,23974.595000
0.398604,0.162596,-0.000080,-0.515713,0.756441,-0.399710,32.330322,23974.600000
0.084526,0.303855,-0.302500,-0.513081,0.759715,-0.404934,32.330322,23974.605000
-0.314518,0.217429,-0.244216,-0.506536,0.759887,-0.385829,32.324219,23974.610000
-0.319132,-0.141311,-0.206028,-0.509739,0.779371,-0.385274,32.324219,23974.615000
-0.209661,-0.338141,0.223380,-0.515377,0.768262,-0.394567,32.324219,23974.620000
0.417584,0.019377,0.088149,-0.521072,0.762781,-0.404750,32.324219,23974.625000
0.284111,0.146490,0.076315,-0.514875,0.754547,-0.396394,32.354736,23974.630000
0.341164,0.364560,-0.197364,-0.513914,0.760164,-0.407796,32.354736,23974.635000
-0.166405,0.152567,-0.281702,-0.506852,0.763646,-0.380133,32.354736,23974.640000
-0.325516,-0.075655,0.039348,-0.508013,0.774960,-0.393247,32.354736,23974.645000
-0.117722,-0.302029,0.225424,-0.514944,0.771004,-0.389265,32.336426,23974.650000
0.270868,-0.192913,0.239928,-0.522633,0.761665,-0.407552,32.336426,23974.655000
0.493330,0.297859,-0.015584,-0.516293,0.753398,-0.400254,32.336426,23974.660000
0.186552,0.331658,-0.358711,-0.511669,0.757915,-0.403601,32.336426,23974.665000
-0.086661,0.238556,-0.379428,-0.508314,0.761718,-0.385295,32.348633,23974.670000
-0.457022,-0.135211,0.004256,-0.508223,0.776177,-0.386215,32.348633,23974.675000
-0.114330,-0.322953,0.327825,-0.514076,0.772126,-0.393472,32.348633,23974.680000
0.420830,0.059238,0.295775,-0.523189,0.763007,-0.404916,32.360840,23974.685000
0.388208,0.067256,-0.052869,-0.515518,0.754015,-0.401856,32.391357,23974.690000
0.275989,0.422985,-0.277831,-0.511409,0.756434,-0.405378,32.391357,23974.695000
-0.139760,0.130154,-0.319156,-0.506450,0.764062,-0.383333,32.391357,23974.700000
-0.432973,-0.207338,-0.030207,-0.508944,0.778321,-0.394484,32.373047,23974.705000
-0.201457,-0.326323,0.235232,-0.514008,0.773722,-0.389851,32.336426,23974.710000
0.337479,-0.285505,0.253194,-0.519261,0.760660,-0.406458,32.336426,23974.715000
0.289287,0.132390,-0.011289,-0.514998,0.756403,-0.398757,32.336426,23974.720000
0.186518,0.147909,-0.317637,-0.512833,0.757948,-0.404480,32.348633,23974.725000
-0.078582,0.164775,-0.215438,-0.505371,0.766134,-0.386605,32.354736,23974.730000
-0.209553,-0.114268,-0.098312,-0.506019,0.773326,-0.390640,32.354736,23974.735000
-0.278068,-0.282809,0.160439,-0.514433,0.776222,-0.389733,32.354736,23974.740000
0.288289,-0.035888,0.322075,-0.520669,0.758231,-0.408486,32.336426,23974.745000
0.304156,0.021766,-0.002107,-0.516963,0.756426,-0.396810,32.336426,23974.750000
0.287045,0.294700,-0.327208,-0.511531,0.760054,-0.404897,32.336426,23974.755000
-0.154483,0.079641,-0.272640,-0.507687,0.762096,-0.386096,32.336426,23974.760000
-0.426172,-0.178168,-0.068115,-0.508890,0.773882,-0.390342,32.342529,23974.765000
-0.113896,-0.184902,0.155266,-0.513512,0.773927,-0.388333,32.342529,23974.770000
0.155353,-0.243765,0.254905,-0.520425,0.760114,-0.405387,32.342529,23974.775000
0.624302,0.235497,-0.050607,-0.515667,0.758121,-0.398526,32.342529,23974.780000
0.198344,0.177055,-0.326162,-0.514469,0.756303,-0.407573,32.330322,23974.785000
-0.283644,0.165062,-0.196674,-0.509795,0.764052,-0.385615,32.330322,23974.790000
-0.260757,-0.214202,-0.093611,-0.507589,0.773728,-0.390110,32.330322,23974.795000
-0.141069,-0.340430,0.251236,-0.513842,0.773273,-0.389889,32.330322,23974.800000
0.294631,-0.085679,0.322252,-0.519913,0.759756,-0.406437,32.305908,23974.805000
0.319708,0.134864,0.059556,-0.517435,0.761566,-0.399220,32.305908,23974.810000
0.248812,0.293653,-0.281256,-0.514523,0.753189,-0.409777,32.305908,23974.815000
-0.143667,0.138313,-0.366005,-0.506908,0.763085,-0.383112,32.305908,23974.820000
-0.450074,-0.207123,-0.147537,-0.508674,0.774954,-0.391231,32.336426,23974.825000
-0.219502,-0.280045,0.255267,-0.513869,0.775032,-0.387406,32.336426,23974.830000
0.061799,-0.244406,0.185571,-0.520689,0.759626,-0.408037,32.336426,23974.835000
0.630613,0.200590,-0.062116,-0.518946,0.759985,-0.396893,32.336426,23974.840000
0.194742,0.105958,-0.153748,-0.512956,0.748763,-0.410840,32.330322,23974.845000
-0.058498,0.130423,-0.314367,-0.507676,0.767592,-0.382837,32.330322,23974.850000
-0.361458,-0.022588,-0.154442,-0.507014,0.772709,-0.391725,32.330322,23974.855000
-0.413806,-0.208503,0.148563,-0.514473,0.774697,-0.387580,32.354736,23974.860000
0.326180,-0.096303,0.308362,-0.520994,0.760637,-0.403769,32.360840,23974.865000
0.536003,0.199288,0.023458,-0.516711,0.758317,-0.399320,32.360840,23974.870000
0.158796,0.301214,-0.160477,-0.515823,0.753492,-0.406341,32.360840,23974.875000
-0.073599,0.217472,-0.303092,-0.507969,0.766370,-0.387565,32.318115,23974.880000
-0.460076,-0.189569,-0.209166,-0.506424,0.771772,-0.392323,32.318115,23974.885000
-0.300138,-0.167322,0.227063,-0.512760,0.775820,-0.386162,32.318115,23974.890000
0.128594,-0.203770,0.289356,-0.521940,0.760440,-0.407214,32.318115,23974.895000
0.597944,0.144396,0.092120,-0.517111,0.759256,-0.399813,32.391357,23974.900000
0.340480,0.142967,-0.127090,-0.513160,0.750265,-0.407418,32.391357,23974.905000
-0.209040,0.152720,-0.323636,-0.507519,0.767546,-0.384005,32.391357,23974.910000
-0.482576,-0.195348,-0.139506,-0.508121,0.768716,-0.395488,32.391357,23974.915000
-0.249442,-0.200990,0.155133,-0.514485,0.777937,-0.384488,32.342529,23974.920000
0.138660,-0.243777,0.228219,-0.519700,0.757212,-0.409440,32.342529,23974.925000
0.596802,0.245623,0.135874,-0.516903,0.761306,-0.393670,32.342529,23974.930000
0.102387,0.102181,-0.158729,-0.513036,0.752074,-0.404654,32.342529,23974.935000
0.049709,0.119962,-0.361668,-0.508456,0.765873,-0.385871,32.299805,23974.940000
-0.613208,-0.206119,-0.189276,-0.507215,0.770037,-0.389499,32.299805,23974.945000
-0.172107,-0.197926,0.197789,-0.513519,0.776518,-0.387198,32.299805,23974.950000
0.267158,-0.240390,0.304174,-0.521773,0.758553,-0.406970,32.299805,23974.955000
-0.158210,-0.150220,0.174691,-0.513279,0.775155,-0.387997,32.373047,23975.010000
0.046552,-0.248436,0.343095,-0.520410,0.761057,-0.404531,32.342529,23975.015000
0.389823,0.232516,-0.012029,-0.519267,0.761347,-0.401090,32.330322,23975.020000
0.243915,0.264163,-0.199509,-0.514734,0.749645,-0.406609,32.330322,23975.025000
-0.129876,0.210776,-0.242962,-0.508304,0.765991,-0.385253,32.330322,23975.030000
-0.361077,-0.124453,-0.151457,-0.507440,0.771921,-0.390676,32.342529,23975.035000
-0.289380,-0.233397,0.142582,-0.513701,0.776512,-0.387969,32.342529,23975.040000
0.174904,-0.135746,0.255269,-0.520210,0.759007,-0.405545,32.342529,23975.045000
0.535455,0.178410,0.061447,-0.519888,0.762327,-0.400938,32.342529,23975.050000
0.095148,0.154061,-0.103401,-0.512696,0.746992,-0.407419,32.330322,23975.055000
0.015450,0.326509,-0.315800,-0.507668,0.768259,-0.386904,32.330322,23975.060000
-0.476900,-0.242790,-0.098454,-0.506123,0.767462,-0.393458,32.330322,23975.065000
-0.186003,-0.273422,0.180016,-0.513850,0.776716,-0.386917,32.330322,23975.070000
